protein_group	eggnog_annot	diamond_annot	annotation	eggnog_proteins_annot	diamond_proteins_annot	organism_eggnog	organism_diamond	go_annotation	upd_full_annot
TRINITY_DN104184_c2_g1_i1.p1_Eve;NODE_54070_length_1112_cov_5.385701_g38144_i0.p1_Eve;TRINITY_DN14030_c0_g1_i3.p1_Ecy;NODE_18200_length_2245_cov_189.014117_g12520_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108665675	PREDICTED: uncharacterized protein LOC108665675		PREDICTED: uncharacterized protein LOC108665675:4		Arthropoda	*	PREDICTED: uncharacterized protein LOC108665675
NODE_54151_length_1110_cov_1209.612630_g398_i11.p1_Eve	*	PREDICTED: twitchin-like isoform X10	PREDICTED: twitchin-like isoform X10		PREDICTED: twitchin-like isoform X10:1		Arthropoda	unc-22	unc-22
TRINITY_DN3589_c2_g1_i4.p1_Gla;NODE_59174_length_886_cov_752.955795_g39865_i0.p1_Ecy;NODE_54570_length_1104_cov_1365.536493_g38551_i0.p1_Eve	*	PREDICTED: fibronectin-binding protein A-like	PREDICTED: fibronectin-binding protein A-like		PREDICTED: fibronectin-binding protein A-like:3		Arthropoda	fnbA	fnbA
NODE_54626_length_951_cov_4118.891353_g36162_i0.p1_Ecy;NODE_66492_length_797_cov_4051.276738_g46019_i0.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108673699	PREDICTED: uncharacterized protein LOC108673699		PREDICTED: uncharacterized protein LOC108673699:1;hypothetical protein FHG87_014485:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108673699
TRINITY_DN17371_c0_g3_i1.p1_Ecy;NODE_6754_length_3682_cov_77.802367_g3962_i0.p1_Ecy;NODE_547_length_7662_cov_127.027978_g336_i0.p1_Eve;TRINITY_DN22793_c0_g2_i5.p1_Gla;NODE_44908_length_1379_cov_46.887218_g33128_i0.p1_Gla;NODE_1924_length_5244_cov_69.915496_g1256_i0.p1_Gla	ALiX	BRO1 domain	ALiX	PDCD6IP:1;ALiX:5	PREDICTED: programmed cell death 6-interacting protein-like:2;BRO1 domain:4	Diptera;Insecta	Arthropoda	ALiX	ALiX
TRINITY_DN6521_c0_g1_i6.p1_Eve;NODE_5478_length_3885_cov_68.367049_g3271_i0.p1_Eve;TRINITY_DN5459_c0_g1_i1.p1_Ecy;NODE_48465_length_1199_cov_21.655652_g3271_i2.p1_Eve;TRINITY_DN44800_c0_g1_i1.p1_Gla	Ddx1	PREDICTED: ATP-dependent RNA helicase Ddx1-like	Ddx1	Ddx1:4;DDX1:1	PREDICTED: ATP-dependent RNA helicase Ddx1-like:4	Paraneoptera;Insecta	Arthropoda	Ddx1	Ddx1
NODE_54782_length_1101_cov_2714.331749_g7050_i2.p1_Eve;TRINITY_DN62160_c0_g1_i2.p1_Ecy;TRINITY_DN41870_c0_g1_i4.p2_Gla	RpL13A	PREDICTED: 60S ribosomal protein L13a-like	RpL13A	RpL13A:2;RPL13A:1	Ribosomal protein L13:1;PREDICTED: 60S ribosomal protein L13a-like:2	Insecta	Arthropoda	RpL13A	RpL13A
NODE_643_length_7904_cov_290.569701_g400_i0.p1_Ecy;TRINITY_DN7185_c0_g1_i4.p1_Gla;NODE_548_length_7341_cov_198.674026_g360_i0.p1_Gla;TRINITY_DN7185_c0_g1_i1.p1_Gla;NODE_9688_length_3005_cov_360.792963_g3792_i1.p1_Eve;NODE_7354_length_3327_cov_430.609823_g360_i1.p1_Gla;NODE_7783_length_3441_cov_678.098467_g400_i1.p1_Ecy;NODE_6343_length_3645_cov_410.303949_g3792_i0.p1_Eve	nonA	PREDICTED: protein no-on-transient A-like	nonA	nonA:8	PREDICTED: protein no-on-transient A-like:4;RNA recognition motif domain:4	Hymenoptera	Arthropoda	nonA	nonA
NODE_5509_length_3876_cov_31.263130_g3294_i0.p1_Eve;TRINITY_DN1518_c0_g1_i3.p1_Ecy;TRINITY_DN30885_c0_g2_i3.p1_Eve;NODE_29179_length_1765_cov_33.147436_g20779_i0.p1_Gla	*	Low-density lipoprotein (LDL) receptor class A repeat	Low-density lipoprotein (LDL) receptor class A repeat		Low-density lipoprotein (LDL) receptor class A repeat:2		Arthropoda	LDLR	LDLR
NODE_5513_length_3720_cov_10.997821_g3589_i0.p1_Gla;TRINITY_DN36214_c0_g2_i1.p1_Gla	Hml	putative domain cysteine-rich, partial	Hml	Hml:1	putative domain cysteine-rich, partial:1	Insecta	Arthropoda	Hml	Hml
NODE_55222_length_942_cov_727.618141_g36656_i0.p1_Ecy	*	Smoothelin	Smoothelin		Smoothelin:1		Arthropoda	SMTN	SMTN
NODE_55262_length_1094_cov_553.796172_g39118_i0.p1_Eve	*	PREDICTED: uncharacterized protein LOC108667690	PREDICTED: uncharacterized protein LOC108667690		PREDICTED: uncharacterized protein LOC108667690:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108667690
TRINITY_DN14279_c0_g1_i9.p1_Ecy;NODE_5529_length_4008_cov_63.063400_g3240_i0.p1_Ecy;TRINITY_DN5057_c0_g1_i4.p1_Eve;NODE_8563_length_3189_cov_79.563694_g5182_i0.p1_Eve;NODE_4400_length_4034_cov_38.905395_g2856_i0.p1_Gla;TRINITY_DN30073_c0_g1_i8.p1_Gla	*	BAG domain	BAG domain		BAG domain:3		Arthropoda	*	BAG domain
TRINITY_DN53657_c0_g1_i7.p1_Eve;NODE_5541_length_3865_cov_313.867925_g2549_i1.p1_Eve;TRINITY_DN3599_c0_g1_i7.p1_Ecy;NODE_9157_length_3190_cov_304.799745_g4991_i2.p1_Ecy;TRINITY_DN1463_c0_g1_i7.p1_Gla;NODE_9381_length_3055_cov_242.705589_g2549_i3.p1_Eve;NODE_13698_length_2573_cov_309.303090_g4991_i3.p1_Ecy	Hex-A	PREDICTED: hexokinase type 2-like isoform X2	Hex-A	Hex-A:5;GCK:1	PREDICTED: hexokinase type 2-like isoform X2:7	Diptera;Drosophilidae	Arthropoda	Hex-A	Hex-A
TRINITY_DN4398_c0_g1_i15.p1_Eve;NODE_5545_length_3864_cov_162.175623_g3316_i0.p1_Eve;TRINITY_DN2278_c0_g1_i19.p1_Ecy;NODE_3698_length_4691_cov_83.285653_g2210_i0.p1_Ecy;NODE_6482_length_3499_cov_94.492754_g4242_i0.p1_Gla;TRINITY_DN110_c0_g1_i11.p1_Gla	*	PREDICTED: probable protein disulfide-isomerase A4	PREDICTED: probable protein disulfide-isomerase A4		PREDICTED: probable protein disulfide-isomerase A4:3;disulfide isomerase:3		Arthropoda	Pdia4	Pdia4
TRINITY_DN34343_c0_g1_i2.p1_Eve;NODE_5560_length_3861_cov_129.701207_g3322_i0.p1_Eve;TRINITY_DN9202_c1_g1_i4.p1_Ecy;NODE_11644_length_2813_cov_32.272793_g6823_i0.p1_Ecy	Hspa1l	heat shock 70 kDa protein 1	Hspa1l	Hspa1l:1;HSPA1A:1;HSPA8:1	heat shock 70 kDa protein 1:3;HSP70-like protein:1	Rodentia;Actinopterygii;Vertebrata	Rotifera	Hspa1l	Hspa1l
NODE_5577_length_3855_cov_167.244614_g3335_i0.p1_Eve;NODE_11857_length_2730_cov_35.132040_g3335_i3.p1_Eve;NODE_8754_length_3158_cov_39.563204_g3335_i2.p1_Eve;TRINITY_DN3388_c17_g1_i1.p1_Eve;TRINITY_DN72085_c0_g1_i6.p1_Ecy;NODE_12419_length_2718_cov_111.283252_g3531_i1.p1_Ecy;TRINITY_DN41892_c0_g1_i1.p1_Eve;NODE_6010_length_3878_cov_91.734657_g3531_i0.p1_Ecy	*	PREDICTED: aminopeptidase N-like	PREDICTED: aminopeptidase N-like		PREDICTED: aminopeptidase N-like:8		Arthropoda	Anpep	Anpep
NODE_558_length_7615_cov_249.607983_g343_i0.p1_Eve;NODE_823_length_7030_cov_250.417705_g343_i2.p1_Eve	*	hypothetical protein FHG87_005635	hypothetical protein FHG87_005635		hypothetical protein FHG87_005635:2		Arthropoda	*	hypothetical protein FHG87_005635
NODE_5583_length_3993_cov_275.984280_g3277_i0.p1_Ecy	*	RNA recognition motif domain	RNA recognition motif domain		RNA recognition motif domain:1		Arthropoda	Hrb27C	Hrb27C
TRINITY_DN153533_c0_g2_i4.p1_Eve;TRINITY_DN153533_c0_g2_i1.p1_Eve;NODE_55866_length_1085_cov_326.782819_g39635_i0.p1_Eve;TRINITY_DN7044_c0_g1_i3.p1_Ecy;NODE_33713_length_1419_cov_136.816058_g20676_i0.p1_Ecy	CTLGA3	C-type lectin fold	CTLGA3	CTLGA3:5	C-type lectin fold:2	Paraneoptera;Hymenoptera;Insecta	Arthropoda	CTLGA3	CTLGA3
NODE_5641_length_3975_cov_602.372134_g1768_i1.p1_Ecy;TRINITY_DN19462_c0_g1_i11.p1_Gla;NODE_4061_length_4138_cov_248.368794_g2635_i0.p1_Gla	*	Proteasome/cyclosome repeat	Proteasome/cyclosome repeat		Proteasome/cyclosome repeat:2;PREDICTED: 26S proteasome non-ATPase regulatory subunit 1-like isoform X1:1		Arthropoda	PSMD1	PSMD1
NODE_5643_length_3837_cov_13.849261_g3372_i0.p1_Eve;NODE_3248_length_4903_cov_29.319736_g1966_i0.p1_Ecy;TRINITY_DN2308_c2_g1_i2.p1_Eve;NODE_5969_length_3602_cov_13.998593_g3894_i0.p1_Gla	*	PREDICTED: microtubule-associated protein futsch-like	PREDICTED: microtubule-associated protein futsch-like		PREDICTED: microtubule-associated protein futsch-like:2		Arthropoda	futsch	futsch
NODE_5665_length_3831_cov_71.215230_g3382_i0.p1_Eve;TRINITY_DN3102_c0_g1_i7.p1_Ecy;NODE_607_length_7998_cov_160.119260_g375_i0.p1_Ecy;TRINITY_DN15084_c0_g1_i2.p1_Eve;TRINITY_DN15084_c0_g3_i1.p1_Eve;TRINITY_DN18877_c0_g1_i1.p1_Gla;NODE_74_length_11074_cov_98.153832_g53_i0.p1_Gla;TRINITY_DN15084_c0_g3_i2.p1_Eve;TRINITY_DN3102_c0_g1_i5.p1_Ecy	KCP	PREDICTED: mucin-5AC-like isoform X2	KCP	KCP:3	VWFC domain:3;PREDICTED: mucin-5AC-like isoform X2:5;PREDICTED: mucin-5AC-like isoform X1:1	Rodentia;Actinopterygii	Arthropoda	KCP	KCP
NODE_5685_length_3825_cov_83.551907_g3004_i1.p1_Eve;NODE_5019_length_4036_cov_80.304991_g3004_i0.p1_Eve;TRINITY_DN8143_c0_g1_i6.p1_Gla;NODE_13513_length_2577_cov_12.419304_g9134_i0.p1_Gla;NODE_56481_length_924_cov_11.681143_g35002_i1.p1_Ecy;NODE_53177_length_975_cov_10.367171_g35002_i0.p1_Ecy;NODE_25852_length_1730_cov_12.023200_g15519_i0.p1_Ecy;TRINITY_DN15758_c0_g1_i3.p1_Gla;TRINITY_DN15758_c0_g1_i8.p1_Gla;TRINITY_DN24413_c0_g1_i15.p1_Ecy;TRINITY_DN24413_c0_g1_i9.p1_Ecy;TRINITY_DN24150_c0_g1_i18.p1_Ecy	GLS	PREDICTED: glutaminase liver isoform, mitochondrial-like isoform X2	GLS	GLS:9	PREDICTED: glutaminase liver isoform, mitochondrial-like isoform X2:11;PREDICTED: glutaminase liver isoform, mitochondrial-like isoform X1:1	Bilateria;Actinopterygii;Nematocera;Hymenoptera	Arthropoda	GLS	GLS
NODE_5723_length_3954_cov_618.667606_g3362_i0.p1_Ecy;TRINITY_DN5024_c0_g1_i1.p1_Eve;NODE_60117_length_1139_cov_448.479817_g45604_i0.p1_Gla	Ef1beta	Nucleoside diphosphate kinase	Ef1beta	Ef1beta:1	Nucleoside diphosphate kinase:2;Nucleoside diphosphate kinase B:1	Insecta	Arthropoda	Ef1beta	Ef1beta
NODE_57498_length_1062_cov_91.287266_g19156_i2.p1_Eve	*	Serine proteases trypsin domain	Serine proteases trypsin domain		Serine proteases trypsin domain:1		Arthropoda	PRSS1	PRSS1
TRINITY_DN54131_c0_g1_i9.p1_Eve;TRINITY_DN48199_c0_g1_i2.p1_Gla;NODE_57603_length_908_cov_24.222352_g38596_i0.p1_Ecy	*	ras-like protein 2 isoform X1	ras-like protein 2 isoform X1		ras-like protein 2 isoform X1:3		Arthropoda	RAS2	RAS2
NODE_58022_length_1055_cov_11045.984095_g41457_i0.p1_Eve	*	PREDICTED: transmembrane protease serine 9-like	PREDICTED: transmembrane protease serine 9-like		PREDICTED: transmembrane protease serine 9-like:1		Arthropoda	TMPRSS9	TMPRSS9
NODE_58050_length_1167_cov_22.820215_g43897_i0.p1_Gla;TRINITY_DN1450_c0_g1_i1.p1_Gla	*	fructose-1,6-bisphosphatase 1-like isoform X1	fructose-1,6-bisphosphatase 1-like isoform X1		fructose-1,6-bisphosphatase 1-like isoform X1:2		Arthropoda	Fbp1	Fbp1
NODE_582_length_7544_cov_587.126084_g357_i0.p1_Eve;TRINITY_DN4080_c0_g1_i3.p1_Eve;TRINITY_DN23670_c0_g1_i7.p1_Ecy	Hml	LOW QUALITY PROTEIN: hemocytin-like	Hml	Hml:3	LOW QUALITY PROTEIN: hemocytin-like:3	Hymenoptera	Arthropoda	Hml	Hml
NODE_58403_length_1162_cov_15.973944_g44182_i0.p1_Gla	SSA3	heat shock protein 70	SSA3	SSA3:1	heat shock protein 70:1	Debaryomycetaceae	0	SSA3	SSA3
NODE_5855_length_3778_cov_351.905068_g3490_i0.p1_Eve;NODE_7943_length_3305_cov_571.933354_g3490_i1.p1_Eve;NODE_16879_length_2286_cov_1168.591417_g9979_i0.p1_Ecy;TRINITY_DN410_c0_g1_i5.p1_Ecy	*	Insect cuticle protein	Insect cuticle protein		Insect cuticle protein:3;PREDICTED: cell wall protein AWA1-like:1		Arthropoda	*	Insect cuticle protein
NODE_7896_length_3314_cov_52.820214_g3505_i2.p1_Eve;NODE_5881_length_3773_cov_52.449248_g3505_i0.p1_Eve;NODE_132362_length_600_cov_57.715064_g110945_i0.p1_Gla;TRINITY_DN961_c0_g1_i5.p1_Eve;NODE_37147_length_1314_cov_29.888538_g23051_i0.p1_Ecy;TRINITY_DN29973_c0_g1_i30.p1_Gla;TRINITY_DN29973_c0_g1_i15.p1_Gla;TRINITY_DN24566_c0_g1_i1.p1_Ecy;NODE_49525_length_1297_cov_40.474359_g5900_i4.p1_Gla;TRINITY_DN122655_c0_g1_i2.p1_Gla;NODE_55872_length_1198_cov_42.199304_g5900_i5.p1_Gla;NODE_53729_length_1229_cov_11.773729_g40302_i0.p1_Gla	*	Membrane attack complex component/perforin (MACPF) domain	Membrane attack complex component/perforin (MACPF) domain		Membrane attack complex component/perforin (MACPF) domain:6		Arthropoda	*	Membrane attack complex component/perforin (MACPF) domain
TRINITY_DN25534_c0_g1_i12.p1_Eve;NODE_5912_length_3764_cov_50.605114_g3527_i0.p1_Eve;NODE_17399_length_2246_cov_169.290851_g4656_i3.p1_Ecy;NODE_16856_length_2288_cov_167.935239_g4656_i2.p1_Ecy;NODE_10295_length_3008_cov_106.465698_g4656_i1.p1_Ecy;NODE_8497_length_3138_cov_123.558757_g5635_i0.p1_Gla;TRINITY_DN14897_c0_g1_i3.p1_Gla;NODE_7941_length_3408_cov_58.361417_g4656_i0.p1_Ecy;NODE_42027_length_1436_cov_19.325883_g30790_i0.p1_Gla	*	PREDICTED: isovaleryl-CoA dehydrogenase, mitochondrial-like	PREDICTED: isovaleryl-CoA dehydrogenase, mitochondrial-like		PREDICTED: isovaleryl-CoA dehydrogenase, mitochondrial-like:7;Acyl-CoA oxidase/dehydrogenase central domain:1;PREDICTED: isovaleryl-CoA dehydrogenase, mitochondrial:1		Arthropoda	IVD	IVD
TRINITY_DN35996_c0_g1_i4.p1_Eve;NODE_59184_length_1041_cov_16.285282_g42421_i0.p1_Eve	*	carnitine O-acetyltransferase-like isoform X2	carnitine O-acetyltransferase-like isoform X2		carnitine O-acetyltransferase-like isoform X2:2		Arthropoda	CRAT	CRAT
NODE_5940_length_3758_cov_273.832300_g3548_i0.p1_Eve;TRINITY_DN13664_c0_g1_i51.p1_Eve	KCP	VWFC domain	KCP	KCP:1	VWFC domain:1;PREDICTED: mucin-5AC-like isoform X2:1	Actinopterygii	Arthropoda	KCP	KCP
TRINITY_DN88943_c2_g1_i1.p1_Eve;TRINITY_DN64946_c1_g1_i3.p1_Ecy;NODE_595_length_7518_cov_25.640782_g366_i0.p1_Eve;NODE_3344_length_4432_cov_13.949806_g2146_i0.p1_Gla;TRINITY_DN190662_c0_g2_i3.p1_Gla	TTC27	PREDICTED: tetratricopeptide repeat protein 27-like	TTC27	TTC27:1	PREDICTED: tetratricopeptide repeat protein 27-like:3;Tetratricopeptide repeat:2	Arthropoda	Arthropoda	TTC27	TTC27
TRINITY_DN16852_c0_g1_i2.p1_Eve;NODE_597_length_7514_cov_355.454923_g368_i0.p1_Eve;NODE_758_length_7537_cov_385.923878_g468_i0.p1_Ecy;NODE_462_length_7666_cov_168.435342_g303_i0.p1_Gla;NODE_50901_length_1274_cov_14.640000_g37990_i0.p1_Gla;TRINITY_DN21001_c0_g1_i2.p1_Gla;TRINITY_DN7932_c0_g1_i2.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108677465	PREDICTED: uncharacterized protein LOC108677465		PREDICTED: uncharacterized protein LOC108677465:4;hypothetical protein FHG87_024745:3		Arthropoda	*	PREDICTED: uncharacterized protein LOC108677465
NODE_5985_length_3744_cov_1698.065223_g3577_i0.p1_Eve;NODE_9179_length_3186_cov_1457.182340_g690_i2.p1_Ecy;NODE_27501_length_1725_cov_1482.794749_g3577_i2.p1_Eve;NODE_45254_length_1256_cov_2062.916321_g3577_i3.p1_Eve;NODE_7037_length_3380_cov_1647.718403_g4634_i0.p1_Gla	PyK	mitochondrial pyruvate kinase	PyK	PyK:5	mitochondrial pyruvate kinase:4;pyruvate kinase:1	Insecta	Arthropoda	PyK	PyK
TRINITY_DN6410_c0_g1_i6.p1_Gla;NODE_60_length_11472_cov_430.003239_g41_i0.p1_Eve;NODE_59_length_11880_cov_255.954019_g41_i0.p1_Gla;TRINITY_DN7515_c0_g1_i6.p1_Eve;TRINITY_DN7515_c0_g1_i17.p1_Eve;NODE_421_length_8614_cov_804.781203_g269_i0.p1_Ecy	*	PREDICTED: polypyrimidine tract-binding protein 2-like isoform X6	PREDICTED: polypyrimidine tract-binding protein 2-like isoform X6		PREDICTED: polypyrimidine tract-binding protein 2-like isoform X6:6		Arthropoda	Ptbp2	Ptbp2
NODE_6022_length_3873_cov_2219.232218_g3537_i0.p3_Ecy	*	*	*					*	*
TRINITY_DN3124_c0_g1_i18.p1_Ecy;TRINITY_DN28617_c0_g2_i10.p1_Eve;TRINITY_DN7330_c0_g1_i11.p1_Gla;NODE_6046_length_3866_cov_379.083835_g3553_i0.p1_Ecy	*	PREDICTED: estradiol 17-beta-dehydrogenase 8-like	PREDICTED: estradiol 17-beta-dehydrogenase 8-like		PREDICTED: estradiol 17-beta-dehydrogenase 8-like:4		Arthropoda	HSD17B8	HSD17B8
NODE_618_length_7465_cov_859.795982_g373_i1.p1_Eve;NODE_606_length_7486_cov_855.006858_g373_i0.p1_Eve	*	hypothetical protein FHG87_005635	hypothetical protein FHG87_005635		hypothetical protein FHG87_005635:2		Arthropoda	*	hypothetical protein FHG87_005635
NODE_6088_length_3716_cov_618.512408_g3632_i0.p1_Eve;NODE_40453_length_1354_cov_782.678161_g3632_i2.p1_Eve;NODE_35424_length_1475_cov_698.185133_g3632_i1.p1_Eve;TRINITY_DN3053_c0_g1_i9.p1_Gla;TRINITY_DN3053_c0_g1_i16.p1_Gla;NODE_5211_length_3790_cov_319.042769_g3244_i1.p1_Gla	ACE	angiotensin-converting enzyme	ACE	ACE:2	angiotensin-converting enzyme:2;angiotensin-converting enzyme-like:2	Actinopterygii;Vertebrata	Arthropoda	ACE	ACE
TRINITY_DN2680_c0_g1_i2.p1_Gla;NODE_6092_length_3575_cov_792.001418_g3981_i0.p1_Gla;TRINITY_DN5339_c0_g1_i8.p1_Eve;TRINITY_DN2996_c0_g1_i4.p1_Ecy;NODE_7533_length_3383_cov_2287.528194_g4530_i0.p1_Eve	*	PREDICTED: uncharacterized protein LOC108675573	PREDICTED: uncharacterized protein LOC108675573		PREDICTED: uncharacterized protein LOC108675573:5		Arthropoda	*	PREDICTED: uncharacterized protein LOC108675573
NODE_6099_length_3715_cov_155.665848_g3637_i0.p1_Eve;NODE_7851_length_3425_cov_197.931280_g4605_i0.p1_Ecy;TRINITY_DN3781_c0_g1_i10.p1_Gla;TRINITY_DN108549_c0_g1_i2.p1_Gla	SCP2	PREDICTED: non-specific lipid-transfer protein-like	SCP2	SCP2:3;Scpx:1	PREDICTED: non-specific lipid-transfer protein-like:3	Actinopterygii;Arthropoda	Arthropoda	SCP2	SCP2
TRINITY_DN367_c0_g1_i8.p1_Gla;NODE_61_length_11749_cov_254.005470_g43_i0.p1_Gla	*	PREDICTED: uncharacterized protein LOC108682041	PREDICTED: uncharacterized protein LOC108682041		PREDICTED: uncharacterized protein LOC108682041:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108682041
TRINITY_DN74313_c0_g2_i1.p1_Ecy;TRINITY_DN1013_c0_g1_i7.p1_Eve;NODE_9210_length_3181_cov_663.334291_g3044_i1.p1_Ecy;NODE_7870_length_3320_cov_500.014063_g3642_i4.p1_Eve;NODE_6104_length_3712_cov_713.894349_g3642_i0.p1_Eve;TRINITY_DN1013_c0_g1_i12.p1_Eve;TRINITY_DN205890_c0_g1_i1.p1_Eve	ACADL	PREDICTED: long-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1	ACADL	ACADL:7	PREDICTED: long-chain specific acyl-CoA dehydrogenase, mitochondrial-like isoform X1:6	Bilateria;Afrotheria;Chordata	Arthropoda	ACADL	ACADL
TRINITY_DN44928_c0_g2_i1.p1_Ecy;NODE_6106_length_3855_cov_21.861534_g3581_i0.p1_Ecy	DHTKD1	PREDICTED: probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial	DHTKD1	DHTKD1:1	PREDICTED: probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial:2	Insecta	Arthropoda	DHTKD1	DHTKD1
NODE_61060_length_861_cov_3.885468_g41420_i0.p1_Ecy;TRINITY_DN104369_c0_g1_i1.p1_Eve;NODE_89822_length_766_cov_3.013947_g69219_i0.p1_Eve	*	PREDICTED: sedoheptulokinase-like	PREDICTED: sedoheptulokinase-like		PREDICTED: sedoheptulokinase-like:3		Arthropoda	Shpk	Shpk
NODE_61106_length_1017_cov_480.995868_g23156_i2.p1_Eve;TRINITY_DN6684_c2_g1_i5.p1_Eve	GSTM3	PREDICTED: glutathione S-transferase Mu 1-like isoform X2	GSTM3	GSTM3:2	PREDICTED: glutathione S-transferase Mu 1-like isoform X2:2	Vertebrata	Arthropoda	GSTM3	GSTM3
TRINITY_DN16445_c0_g1_i1.p1_Ecy;NODE_61420_length_1014_cov_13.007254_g44298_i0.p1_Eve	moc-2	PREDICTED: gephyrin-like	moc-2	moc-2:2	PREDICTED: gephyrin-like:2	Bilateria	Arthropoda	moc-2	moc-2
NODE_6165_length_3839_cov_300.454354_g3609_i0.p1_Ecy;NODE_2592_length_4790_cov_144.425438_g1678_i0.p2_Gla;NODE_24478_length_1846_cov_584.695047_g8546_i2.p1_Eve;TRINITY_DN39_c1_g1_i1.p1_Gla;NODE_75628_length_710_cov_1.968230_g54037_i0.p1_Ecy	eIF-2gamma	PREDICTED: eukaryotic translation initiation factor 2 subunit 3, Y-linked-like	eIF-2gamma	eIF-2gamma:5	PREDICTED: eukaryotic translation initiation factor 2 subunit 3, Y-linked-like:3;PREDICTED: eukaryotic translation initiation factor 2 subunit 3, Y-linked:1;EIF2S3:1	Bilateria;Chordata;Paraneoptera	Arthropoda;Chordata;Mollusca	eIF-2gamma	eIF-2gamma
NODE_6189_length_3686_cov_136.072312_g3699_i0.p1_Eve;TRINITY_DN1745_c0_g1_i20.p1_Eve;NODE_9122_length_3196_cov_62.775342_g5358_i0.p1_Ecy;TRINITY_DN3914_c0_g2_i6.p1_Ecy	*	PREDICTED: uncharacterized protein LOC108681121	PREDICTED: uncharacterized protein LOC108681121		PREDICTED: uncharacterized protein LOC108681121:4		Arthropoda	*	PREDICTED: uncharacterized protein LOC108681121
NODE_625_length_7441_cov_126.124865_g386_i0.p1_Eve;TRINITY_DN6750_c3_g1_i3.p1_Eve;TRINITY_DN130553_c0_g1_i8.p1_Ecy;NODE_899_length_6463_cov_95.299033_g595_i0.p1_Gla	OGT	Tetratricopeptide repeat 1	OGT	OGT:1	Tetratricopeptide repeat 1:2;PREDICTED: UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like isoform X1:2	Arthropoda	Arthropoda	OGT	OGT
TRINITY_DN1723_c0_g1_i7.p1_Eve;NODE_62507_length_1001_cov_1000.393908_g30198_i1.p1_Eve	*	PREDICTED: uncharacterized protein LOC108673189	PREDICTED: uncharacterized protein LOC108673189		PREDICTED: uncharacterized protein LOC108673189:2		Arthropoda	*	PREDICTED: uncharacterized protein LOC108673189
NODE_6257_length_3815_cov_762.334572_g3018_i1.p2_Ecy;NODE_5147_length_4135_cov_666.821831_g3018_i0.p1_Ecy;TRINITY_DN6892_c0_g1_i1.p2_Ecy;TRINITY_DN4627_c0_g1_i2.p1_Gla;NODE_3625_length_4302_cov_190.114037_g2339_i0.p1_Gla	TPPP	PREDICTED: TPPP family protein CG45057-like	TPPP	TPPP:1	PREDICTED: TPPP family protein CG45057-like:5	Insecta	Arthropoda	TPPP	TPPP
NODE_6273_length_3666_cov_46.608515_g3750_i0.p1_Eve;TRINITY_DN17188_c0_g1_i4.p1_Eve;TRINITY_DN160_c10_g2_i1.p1_Gla;TRINITY_DN76618_c0_g1_i4.p1_Ecy;TRINITY_DN76618_c0_g1_i1.p1_Ecy	aldh16a1	PREDICTED: aldehyde dehydrogenase family 16 member A1-like	aldh16a1	aldh16a1:5	PREDICTED: aldehyde dehydrogenase family 16 member A1-like:5	Chordata;Metazoa;Vertebrata	Arthropoda	aldh16a1	aldh16a1
NODE_6287_length_3662_cov_33558.705785_g110_i15.p1_Eve;TRINITY_DN23503_c1_g1_i8.p1_Eve;TRINITY_DN13973_c0_g1_i4.p1_Gla;NODE_6610_length_3469_cov_77.879532_g4338_i0.p1_Gla	*	Heat shock protein 70 family	Heat shock protein 70 family		Heat shock protein 70 family:2;PREDICTED: hypoxia up-regulated protein 1-like:2		Arthropoda	*	Heat shock protein 70 family
NODE_62907_length_997_cov_148.321730_g45551_i0.p1_Eve	*	PREDICTED: uncharacterized protein LOC108681558	PREDICTED: uncharacterized protein LOC108681558		PREDICTED: uncharacterized protein LOC108681558:1		Arthropoda	*	PREDICTED: uncharacterized protein LOC108681558
TRINITY_DN275851_c0_g1_i1.p1_Gla;NODE_6302_length_3804_cov_116.632224_g3700_i0.p1_Ecy;TRINITY_DN16903_c3_g1_i9.p1_Ecy	CUL1	PREDICTED: cullin-1-like	CUL1	CUL1:1	PREDICTED: cullin-1-like:2;Cullin N-terminal:1	Insecta	Arthropoda	CUL1	CUL1
NODE_63303_length_833_cov_181.289541_g43306_i0.p1_Ecy;TRINITY_DN94496_c0_g1_i2.p1_Eve	*	Glutathione S-transferase N-terminal	Glutathione S-transferase N-terminal		Glutathione S-transferase N-terminal:1;PREDICTED: glutathione S-transferase Mu 1-like isoform X2:1		Arthropoda	Gstm1	Gstm1
